id_fato_decisao,processo,relator_atual,nome_ministro_a,meio_processo,origem_decisao,ambiente_julgamento,data_de_autuacao,data_baixa,indicador_colegiado,ano_da_decisao,data_da_decisao,tipo_decisao,andamento_decisao,observacao_do_andamento,ramo_direito,assuntos_do_processo,indicador_de_tramitacao,orgao_julgador,descricao_procedencia_processo,descricao_orgao_origem,anos_tramitacao,categoria_analise,ano_autuacao,ano_decisao,modo_decisao,ambiente_simplificado
20574197,ADI 5487,Min. Rosa Weber,MIN. ROSA WEBER,ELETRÔNICO,TRIBUNAL PLENO,Presencial,2016-03-17,19/02/2018 13:49:48,COLEGIADA,2016,2016-08-25,Decisão Final,Procedente em parte,"Decisão: O Tribunal, por maioria, deu parcial procedência ao pedido, conferindo interpretação conforme ao § 5º do art. 46 da Lei nº 9.504/1997, com a redação dada pela Lei nº 13.165/2015, para se determinar que os candidatos aptos não possam deliberar pela exclusão dos debates de candidatos cuja participação seja facultativa, quando a emissora tenha optado por convidá-los, vencidos os Ministros Rosa Weber (Relatora), Ricardo Lewandowski, Teori Zavascki, que julgavam improcedente o pedido, e os Ministros Marco Aurélio e Celso de Mello, que o julgavam procedente. Redigirá o acórdão o Ministro Roberto Barroso. Ausentes, justificadamente, os Ministros Ricardo Lewandowski (Presidente) e Roberto Barroso. Presidiu o julgamento a Ministra Cármen Lúcia (Vice-Presidente). Plenário, 25.08.2016.",DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF | ELEIÇÃO | CAMPANHA ELEITORAL | PROPAGANDA ELEITORAL,DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF | ELEIÇÃO | CAMPANHA ELEITORAL | PROPAGANDA ELEITORAL,Não,TRIBUNAL PLENO,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,0.4407939767282683,Mérito,2016,2016,Colegiada,Plenário Presencial
21622328,ADI 5488,Min. Dias Toffoli,MIN. DIAS TOFFOLI,ELETRÔNICO,TRIBUNAL PLENO,Presencial,2016-03-21,19/02/2018 19:29:46,COLEGIADA,2016,2016-09-01,Decisão Final,Procedente em parte,"NA SESSÃO DO PLENÁRIO DE 31.8.2016 - Decisão: Concluindo o julgamento, o Tribunal, por maioria e nos termos do voto do Relator, conheceu em parte da ação e, na parte conhecida, julgou parcialmente procedente o pedido formulado para conferir interpretação conforme ao § 5º do art. 46 da Lei 9.504/97, para esclarecer que as emissoras ficam facultadas para convidar outros candidatos não enquadrados no critério do caput do art. 46, independentemente de concordância dos candidatos aptos, conforme critérios objetivos, que atendam os princípios da imparcialidade e da isonomia e o direito à informação, a ser regulamentado pelo Tribunal Superior Eleitoral, vencido, em parte, o Ministro Marco Aurélio, que julgava o pedido procedente, e vencidos os Ministros Ricardo Lewandowski (Presidente), Teori Zavascki, Rosa Weber, Edson Fachin e Celso de Mello, que julgavam improcedente o pedido. Reajustou seu voto o Ministro Roberto Barroso. Ausentes, justificadamente, o Ministro Gilmar Mendes, e, nesta asse",DIREITO ELEITORAL | ELEIÇÕES | PROPAGANDA POLÍTICA - PROPAGANDA ELEITORAL |PROPAGANDA POLÍTICA - PROPAGANDA ELEITORAL - DEBATE POLÍTICO,DIREITO ELEITORAL | ELEIÇÕES | PROPAGANDA POLÍTICA - PROPAGANDA ELEITORAL |PROPAGANDA POLÍTICA - PROPAGANDA ELEITORAL - DEBATE POLÍTICO,Não,TRIBUNAL PLENO,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,0.4490075290896646,Mérito,2016,2016,Colegiada,Plenário Presencial
21923340,ADI 5491,Min. Dias Toffoli,MIN. DIAS TOFFOLI,ELETRÔNICO,TRIBUNAL PLENO,Presencial,2016-04-04,18/09/2017 16:33:31,COLEGIADA,2016,2016-08-25,Decisão Final,Improcedente,"Decisão: O Tribunal, por maioria e nos termos do voto do Relator, julgou improcedente o pedido formulado, vencidos o Ministro Edson Fachin, que dava parcial procedência ao pedido, e os Ministros Marco Aurélio e Celso de Mello, que o julgavam procedente. Ausentes, justificadamente, os Ministros Ricardo Lewandowski (Presidente) e Roberto Barroso. Presidiu o julgamento a Ministra Cármen Lúcia (Vice-Presidente). Plenário, 25.08.2016.",DIREITO ELEITORAL | ELEIÇÕES |ELEIÇÕES - ELEIÇÃO PROPORCIONAL,DIREITO ELEITORAL | ELEIÇÕES |ELEIÇÕES - ELEIÇÃO PROPORCIONAL,Não,TRIBUNAL PLENO,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,0.3915126625598905,Mérito,2016,2016,Colegiada,Plenário Presencial
29990877,ADI 5507,Min. Dias Toffoli,MIN. DIAS TOFFOLI,ELETRÔNICO,TRIBUNAL PLENO - SESSÃO VIRTUAL,Virtual,2016-04-28,11/10/2022 14:24:26,COLEGIADA,2022,2022-09-05,Decisão Final,Procedente em parte,"Decisão: O Tribunal, por maioria, julgou parcialmente procedente a presente ação direta de inconstitucionalidade, tão somente para dar interpretação conforme ao § 2º do art. 96-B da Lei n. 9.504/97, acrescentado pelo art. 2º da Lei n. 13.165/2015, nos termos da jurisprudência do Tribunal Superior Eleitoral, no sentido de que a regra geral de reunião dos processos pode ser afastada, no caso concreto, sempre que a celeridade, a duração razoável do processo (art. 5º, LXXVIII, da CF), o bom andamento da marcha processual, o contraditório e a ampla defesa (art. 5º, LV, da CF), a organicidade dos julgamentos e o relevante interesse público envolvido recomendem a separação dos feitos, nos termos do voto do Relator, vencidos os Ministros André Mendonça e Edson Fachin, que julgavam improcedente a ação. Plenário, Sessão Virtual de 26.8.2022 a 2.9.2022.",DIREITO ELEITORAL |GARANTIAS PROCESSUAIS,DIREITO ELEITORAL |GARANTIAS PROCESSUAIS,Não,TRIBUNAL PLENO,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,6.354551676933607,Mérito,2016,2022,Colegiada,Plenário Virtual
26846467,ADI 5518,Min. Celso de Mello,MIN. CELSO DE MELLO,ELETRÔNICO,MONOCRÁTICA,Presencial,2016-05-09,28/05/2020 15:25:20,MONOCRÁTICA,2020,2020-04-30,Decisão Final,Não conhecido(s),Em 30/04/2020.,DIREITO ELEITORAL | PARTIDOS POLÍTICOS,DIREITO ELEITORAL | PARTIDOS POLÍTICOS,Não,MONOCRÁTICA,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,3.975359342915811,Sem mérito,2016,2020,Monocrática,Plenário Presencial
22035339,ADI 5525,Min. Luís Roberto Barroso,MIN. LUÍS ROBERTO BARROSO,ELETRÔNICO,TRIBUNAL PLENO,Presencial,2016-05-13,13/12/2019 09:51:22,COLEGIADA,2018,2018-03-08,Decisão Final,Procedente em parte,"Decisão: O Tribunal, por maioria e nos termos do voto do Relator, julgou parcialmente procedente a ação para declarar a inconstitucionalidade da locução ""após o trânsito em julgado"", prevista no § 3º do art. 224 do Código Eleitoral, e para conferir interpretação conforme a Constituição ao § 4º do mesmo artigo, de modo a afastar do seu âmbito de incidência as situações de vacância nos cargos de Presidente e Vice-Presidente da República, bem como no de Senador da República. Vencido, em parte, o Ministro Alexandre de Moraes, nos termos de seu voto. Presidiu o julgamento a Ministra Cármen Lúcia. Plenário, 8.3.2018.",DIREITO ELEITORAL | ELEIÇÕES |ELEIÇÕES - ELEIÇÃO MAJORITÁRIA,DIREITO ELEITORAL | ELEIÇÕES |ELEIÇÕES - ELEIÇÃO MAJORITÁRIA,Não,TRIBUNAL PLENO,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,1.8179329226557153,Mérito,2016,2018,Colegiada,Plenário Presencial
20903507,ADI 5577,Min. Rosa Weber,MIN. ROSA WEBER,ELETRÔNICO,TRIBUNAL PLENO,Presencial,2016-08-19,19/02/2018 13:49:48,COLEGIADA,2016,2016-08-25,Decisão Final,Improcedente,"Decisão: Convertida a apreciação do referendo da cautelar em julgamento de mérito, o Tribunal, por maioria e nos termos do voto da Relatora, julgou improcedente o pedido formulado, vencidos os Ministros Edson Fachin, Marco Aurélio e Celso de Mello. Não votaram os Ministros Ricardo Lewandowski (Presidente) e Roberto Barroso, ausentes justificadamente. Presidiu o julgamento a Ministra Cármen Lúcia (Vice-Presidente). Plenário, 25.08.2016.",DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF | ELEIÇÃO | CAMPANHA ELEITORAL | PROPAGANDA ELEITORAL,DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF | ELEIÇÃO | CAMPANHA ELEITORAL | PROPAGANDA ELEITORAL,Não,TRIBUNAL PLENO,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,0.01642710472279261,Mérito,2016,2016,Colegiada,Plenário Presencial
24370106,ADI 5617,Min. Edson Fachin,MIN. EDSON FACHIN,ELETRÔNICO,TRIBUNAL PLENO,Presencial,2016-10-24,27/03/2019 14:20:35,COLEGIADA,2018,2018-03-15,Decisão Final,Procedente,"Decisão: O Tribunal, por maioria e nos termos do voto do Relator, julgou procedente a ação direta para: i) declarar a inconstitucionalidade da expressão ""três"", contida no art. 9º da Lei 13.165/2015, eliminando o limite temporal até agora fixado; ii) dar interpretação conforme à Constituição ao art. 9º da Lei 13.165/2015 de modo a (a) equiparar o patamar legal mínimo de candidaturas femininas (hoje o do art. 10, § 3º, da Lei 9.504/1997, isto é, ao menos 30% de cidadãs), ao mínimo de recursos do Fundo Partidário a lhes serem destinados, que deve ser interpretado como também de 30% do montante do Fundo alocado a cada partido, para as eleições majoritárias e proporcionais, e (b) fixar que, havendo percentual mais elevado de candidaturas femininas, o mínimo de recursos globais do partido destinados a campanhas lhe seja alocado na mesma proporção; iii) declarar a inconstitucionalidade, por arrastamento, do § 5º-A e do § 7º do art. 44 da Lei 9.096/1995. Vencidos, em parte, os Ministros Marc",DIREITO ELEITORAL | ELEIÇÕES |RECURSOS FINANCEIROS DE CAMPANHA ELEITORAL,DIREITO ELEITORAL | ELEIÇÕES |RECURSOS FINANCEIROS DE CAMPANHA ELEITORAL,Não,TRIBUNAL PLENO,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,1.3880903490759753,Mérito,2016,2018,Colegiada,Plenário Presencial
22871037,ADI 5619,Min. Luís Roberto Barroso,MIN. LUÍS ROBERTO BARROSO,ELETRÔNICO,TRIBUNAL PLENO,Presencial,2016-10-31,22/08/2018 19:55:38,COLEGIADA,2018,2018-03-08,Decisão Final,Improcedente,"Decisão: O Tribunal, por maioria, vencido o Ministro Marco Aurélio, julgou totalmente improcedente a ação direta e fixou tese nos seguintes termos: ""É constitucional legislação federal que estabeleça novas eleições para os cargos majoritários simples - isto é, Prefeitos de Municípios com menos de duzentos mil eleitores e Senadores da República - em casos de vacância por causas eleitorais"". Tudo nos termos do voto do Relator. Presidiu o julgamento a Ministra Cármen Lúcia. Plenário, 8.3.2018.",DIREITO ELEITORAL | ELEIÇÕES |ELEIÇÕES - ELEIÇÃO MAJORITÁRIA,DIREITO ELEITORAL | ELEIÇÕES |ELEIÇÕES - ELEIÇÃO MAJORITÁRIA,Não,TRIBUNAL PLENO,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,1.3497604380561259,Mérito,2016,2018,Colegiada,Plenário Presencial
27228220,ADI 5730,Min. Celso de Mello,MIN. CELSO DE MELLO,ELETRÔNICO,MONOCRÁTICA,Presencial,2017-06-16,26/05/2020 18:49:38,MONOCRÁTICA,2020,2020-04-29,Decisão Final,Não conhecido(s),"""(...) Sendo assim, em face das razões expostas, e acolhendo, ainda,                    a manifestação da douta Procuradoria-Geral da República, não conheço da presente ação direta.

Arquivem-se estes autos.

Publique-se.""
",DIREITO ELEITORAL |ADMINISTRAÇÃO DA JUSTIÇA ELEITORAL,DIREITO ELEITORAL |ADMINISTRAÇÃO DA JUSTIÇA ELEITORAL,Não,MONOCRÁTICA,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,2.869267624914442,Sem mérito,2017,2020,Monocrática,Plenário Presencial
